Name,Artist,Band Members,Start Year,End Year,Description
A Story in White,Aereogramme,Iain,2001,2002
Sleep and Release,Aereogramme,Iain,2003,2003
Seclusion,Aereogramme,Iain,2004,2006
With Tired Hearts,Julia Thirteen,Martin,2006,2006
My Heart Has a Wish That You Would Not Go,Aereogramme,"Iain, Martin",2007,2007
Kill Music,Boyfriend/Girlfriend,Lauren,2007,2007
Optimism,Boyfriend/Girlfriend,Lauren,2008,2008
Forget the Night Ahead,The Twilight Sad,Martin,2009,2009
The Unwinding Hours,The Unwinding Hours,Iain,2010,2011
Blue Sky Archives EP,Blue Sky Archives,Lauren,2010,2010
The Bones of What You Believe,CHVRCHES,"Iain, Lauren, Martin",2011,2014
Plural,Blue Sky Archives,Lauren,2011,2011
Afterlives,The Unwinding Hours,Iain,2012,2012
Triple A-Side,Blue Sky Archives,Lauren,2012,2012
Every Open Eye,CHVRCHES,"Iain, Lauren, Martin",2015,2017
Love Is Dead,CHVRCHES,"Iain, Lauren, Martin",2018,2020
Screen Violence,CHVRCHES,"Iain, Lauren, Martin",2021,2023
SEEDS,Protection,Iain,2023,2023
Vicious Creature,Lauren Mayberry,Lauren,2023,2025
The Leaving,The Leaving,Martin,2025
CHV 5,CHVRCHES,"Iain, Lauren, Martin",2026
