Name,Era,Description,Network,Posted On,Link
nyliveinconcert,,Live at Grand Central Station,Instagram,14.11.2014,https://www.instagram.com/p/vX2BUFMWo0/?hl=de
Opening post for the Love Is Dead era,Love Is Dead,GET IN,Instagram,30.01.2018,https://www.instagram.com/p/Bek-BmOH4rD/
Release of Get Out,Love Is Dead,GET OUT | OUT NOW,Instagram,31.01.2018,https://www.instagram.com/p/BeoGB9DHrbr/
Release of My Enemy & Announcement of the release date of Love Is Dead,Love Is Dead,LOVE IS DEAD | OUT MAY 25 🖤 Pre-order the album & listen to My Enemy feat. Matt Berninger now 🖤,Instagram,28.02.2018,https://www.instagram.com/p/Bfv54hJHwgw/
Jonny Scott announced as drummer,Love Is Dead,New rehearsals. Who dis? 🥁 @thejonnyscott,Instagram,11.03.2018,https://www.instagram.com/p/BgMK3LUnvjz/
Cover of Somebody Else by The 1975,Love Is Dead,"🖤🌟We covered Somebody Else by @the1975 in the @bbcradio1 #livelounge with @claraamfo...! Check out our Instagram story for the link. PS: hiya, @thejonnyscott... 🥁☠️",Instagram,15.03.2018,https://www.instagram.com/p/BgW92xSnnlq/
Release of Get Out (The Remixes),Love Is Dead,"Get Out remixes from @ROOSEVELT_music and @OneBitMusic are out today 🖤 To spread the love (even though it's dead), we've made the stems available to download via @WeTransfer. Links in stories.",Instagram,18.03.2018,https://www.instagram.com/p/BgqtQ7WnZpD/
Cover of XO by Beyoncé,Love Is Dead,"Played a few stripped back tunes and covered @Beyonce for @iHeartRadio. Watch the session feat. Get Out, The Mother We Share, and XO. Link in bio. 📷 @robberryphoto",Instagram,23.03.2018,https://www.instagram.com/p/BgrUjw-niBe/
Release of Never Say Die,Love Is Dead,"Never Say Die, the latest song from Love Is Dead, is out now. Link in bio.",Instagram,29.03.2018,https://www.instagram.com/p/Bg5J3shnrJe/
Release of Miracle,Love Is Dead,MIRACLE OUT TONIGHT AT MIDNIGHT. Listen on @anniemacdj @bbcradio1 at 7:30PM BST,Instagram,10.04.2018,https://www.instagram.com/p/BhZWnzFHDIk/
Release of Love Is Dead,Love Is Dead,Love Is Dead is out now 🖤,Instagram,25.05.2018,https://www.instagram.com/p/BjL8pC8HlOl/
Banquet Records - Show at the Hippodrome 29.05.2018,,,Instagram,29.05.2018,https://www.instagram.com/p/BjX9awAnauV/?hl=en&img_index=2
Release of Out Of My Head,Love Is Dead,Out Of My Head feat. @kom_i_jp is out now!,Instagram,03.08.2018,https://www.instagram.com/p/BmAKuLMnMAk/
A Little Test - CHVRCHES Nostalgia 2022,Screen Violence,"This little post is mostly a test for an app we’re working on right now, so apologies if it feels a bit random. We need some content here on Substack to experiment with a few ideas. This one is about a set of shows I unfortunately attended without Tanja.",Substack,06.06.2022,https://chasingchvrches.substack.com/p/a-little-test-chvrches-nostalgia
,Screen Violence,Over – Live on @fallontonight,Instagram,03.04.2023,https://www.instagram.com/p/CqnxlwspGi9/
Later with Jools Holland to play The Mother We Share ,,CHVRCHES ,Instagram,25.09.2023,https://www.instagram.com/reel/CxmRQJkLkbr/
,,"Opening Act Mississippi Studios Portland, short video",Instagram,29.09.2023,https://www.instagram.com/p/CxwsAsoLWfd/?hl=de&img_index=2
Teenage Cancer Trust,CHV 5,First show since 2023,Instagram,08.12.2025,https://www.instagram.com/p/DR_sludEhlD
Addicted to Love,CHV 5,"new year, new lies. 🤫 “Addicted to Love” performed by @chvrches for the new season of @tellmelieshulu is out now wherever you stream music.
",Instagram,16.01.2026,https://www.instagram.com/p/DTlFDHdkRfp/
Pray,The Leaving,Pray. OUT NOW. Deep breath…,Instagram,06.02.2026,https://www.instagram.com/p/DUa0YJ_ERi3/
Such Great Heights,CHV 5,"We covered one of our favourite songs, by one of our favourite bands, for one of our favourite TV shows. Such Great Heights (CHV Version) out everywhere now 🤍",Instagram,17.02.2026,https://www.instagram.com/p/DU3tz-qEjiB
