Name,Announced,Description
Shark Week
CHURCHES Glasgow Gigs,11.07.2012
CHURCHES Edinburgh Gigs
BBC 1 Session
Passion Pit / Chad Valley Dates - Announced 12.10.2012,12.10.2012
First Headline London Show
Eurosonic Noorderslag 2013
CHVRCHES FEB/MARCH UK TOUR - Announced 4.1.2013,04.01.2013
CHVRCHES NORTH AMERICAN TOUR - announced 17.1.2013,17.01.2013
UK HEADLINE SHOWS - Announced 25.2.2013,25.02.2013
UK TDCC support
Introducing.de Tour - Accounced 18.3.2013,18.03.2013
North American Tour - May/June 2013 - Announced 25.3.2013,25.03.2013
North American Tour - September/November 2013 - Announced 21.6.2013,21.06.2013
Great Escape 2013
Field Day 2013
Label-Abend im Berghain
Les Nuits Botanique
CHVRCHES Australia 2013 - Announced 10.4.2013,10.04.2013
Festivals Summer 2013 - Announced 26.4.2013,26.04.2013
European Shows Autumn 2013 - Announced 5.6.2013,05.06.2013
Virgin FreeFest 2013 - Announced 30.7.2013,30.07.2013
BBC Radio 1's Live Lounge 2013
UK TOUR Autumn 2013 - Announced 16.7.2013,16.07.2013
KNDD 107.7 Deck the Hall Ball - Announced 18.10.2013,18.10.2013
The Bones Of What You Believe - Release Shows
Depeche Mode Delta Machine Tour and Festivals - Summer 2013
Billboard Studios 2013
ZDF Bauhaus 2013 (PopAround@Bauhaus Folge 54)
European Shows Autumn 2013
Are You Awake?
London Grammar
Vicious Creature
Record Stores
US Tour Winter 2013
Jimmy Kimmel live 2013
Criminal Records Stage 2013
Live 105 Not So Silent Night 2013
91X Holiday Bonus Show 2013
iHeartRadio Theater 2013
McKittrick Hotel 2013
XFM Winter Wonderland 2013
BBC Radio 1's Live Lounge Chrismas 2013
Chrismas Charity Gig Glasgow 2013
Hogmanay 2013
Laneway Festival & Sideshows 2014
Japan 2014
UK/Europe March 2014
NME Awards 2014
The Review Show 2014
BBC Radio 1's Live Lounge 2014
BBC Radio Scotland Sessions 2014
Mercury Price 2014
Teenage Cancer Trust 2026
